raceId,Year,Race,Date,Finishers,City,State,Country,Continent,Type,Include,AgeBand,Net,Adjustment
176,2024,Leiden Marathon,2024-05-12,1432,Leiden,ZUI,,,,False,1,0,0
92,2024,Cowtown Marathon,2024-02-24,1425,Fort Worth,TX,,,,True,1,0,0
439,2023,Milwaukee Lakefront Marathon,2023-10-01,1420,milwaukee ,WI,,,,True,1,0,0
133,2023,RnR Arizona,2023-01-14,1416,Phoenix,AZ,,,,True,1,0,0
430,2022,Marathon Zeeland,2022-10-01,1402,Burgh Haamstede,ZEE,,,,False,1,0,0
15,2023,Atlanta Marathon,2023-02-25,1383,Atlanta,GA,,,,True,1,0,0
509,2024,Vermont City Marathon,2024-05-26,1381,Burlington,VT,,,,True,1,0,0
310,2024,Salt Lake City Marathon,2024-04-20,1375,Salt Lake City,UT,,,,True,1,0,0
291,2022,Wineglass Marathon Weekend,2022-10-01,1371,Corning,NY,,,,True,1,0,0
546,2024,Beer Lover's Marathon,2024-05-11,1369,Liège,LIÈ,,,,False,1,0,0
214,2023,Bayshore Marathon,2023-05-25,1366,Traverse City,MI,,,,True,1,0,0
1117,2025,Santa Rosa Marathon & Half Marathon,2025-08-24,1362,Santa Rosa,CA,,,,True,1,0,0
246,2023,Kiawah Island Marathon,2023-12-08,1361,Kiawah Island,SC,,,,True,1,0,0
286,2024,Wonderpark Akasia Road Race,2024-01-27,1359,Akasia,GAU,,,,False,1,0,0
230,2023,Australian Running Festival,2023-04-16,1353,Canberra,ACT,,,,False,1,0,0
1060,2025,Ogden Marathon,2025-05-17,1331,Ogden,UT,,,,True,1,0,0
266,2024,Glass City Marathon,2024-04-27,1329,Toledo,OH,,,,True,1,0,0
928,2024,Kiawah Island Marathon,2024-12-14,1328,Kiawah Island,SC,,,,True,1,0,0
1070,2025,Fargo Marathon,2025-05-31,1326,Fargo,ND,,,,True,1,0,0
1031,2025,Kentucky Derby Festival Marathon,2025-04-26,1322,Louisville,KY,,,,True,1,0,0
